               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10821,             0.03939,            0.042594,             0.04102,            0.020833,           0.0090778,           0.0017429,            0.097572,            0.024243,            0.036524,             0.00015,             0.00015,             0.09865
                   1,             0.10743,             0.04361,            0.041332,            0.030954,            0.020833,           0.0060627,          0.00073449,            0.095239,            0.023192,             0.03554,          0.00030993,          0.00030993,             0.09721
                   2,            0.097243,            0.043638,            0.039411,            0.026637,            0.020833,           0.0044626,          0.00077562,            0.088927,            0.023046,            0.033569,          0.00046958,          0.00046958,             0.09577
                   3,             0.08807,            0.033182,            0.036151,            0.019241,            0.020833,           0.0066915,           0.0011265,            0.079738,            0.023541,            0.031304,          0.00062874,          0.00062874,            0.094329
                   4,            0.085018,            0.031746,            0.036964,            0.013385,            0.083333,            0.008889,           0.0019297,             0.07462,            0.023552,            0.029324,           0.0007872,           0.0007872,            0.092887
                   5,            0.083106,             0.03444,            0.033838,            0.031773,             0.10417,            0.021651,           0.0038537,            0.072383,             0.02295,            0.027902,          0.00094474,          0.00094474,            0.091445
                   6,            0.083696,            0.047312,            0.036686,            0.076129,              0.0625,            0.040265,            0.010979,            0.071638,            0.021266,              0.0273,           0.0011012,           0.0011012,            0.090001
                   7,            0.072624,            0.031205,            0.031341,             0.49774,               0.125,            0.088545,            0.022909,            0.068449,            0.020271,            0.026518,           0.0012562,           0.0012562,            0.088556
                   8,            0.074976,            0.040749,            0.032682,              0.1004,             0.32948,             0.12885,            0.050259,            0.066647,            0.019595,            0.025336,           0.0014098,           0.0014098,             0.08711
                   9,            0.070871,            0.034709,            0.032007,             0.10999,             0.52083,             0.17052,            0.067209,            0.064777,            0.019111,            0.023625,           0.0015616,           0.0015616,            0.085662
                  10,             0.07155,            0.038817,            0.028476,             0.11892,             0.51383,             0.16375,            0.053841,            0.062854,            0.018334,            0.022513,           0.0017115,           0.0017115,            0.084211
                  11,            0.067319,            0.025208,            0.032151,             0.10888,             0.52083,             0.17719,            0.068518,            0.059006,             0.01783,             0.02172,           0.0018592,           0.0018592,            0.082759
                  12,            0.069208,            0.037897,            0.034248,             0.10523,             0.54167,             0.15027,            0.052534,            0.060622,            0.016502,            0.021566,           0.0020046,           0.0020046,            0.081305
                  13,            0.064051,            0.036006,            0.028639,             0.83272,             0.14483,             0.17456,            0.082104,            0.052827,            0.016125,            0.021348,           0.0021475,           0.0021475,            0.079847
